date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:42	69406/69406	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202020%2008:43:41%20GMT	http://embeddedandvlsidesignconference.org/archives/2019	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/archives/2019.24.delayed	(from http://embeddedandvlsidesignconference.org/)
14:13:42	79903/79903	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:41%20GMT	http://embeddedandvlsidesignconference.org/conference-history/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/conference-history/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:43	69406/69406	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202020%2008:43:43%20GMT	http://embeddedandvlsidesignconference.org/archives/2013/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/archives/2013/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:43	23870/23870	---M--	200	added ('OK')	image/jpeg	etag:%225de4b590-5d3e%22	http://embeddedandvlsidesignconference.org/wp-content/uploads/2019/12/vlsid_new_logo_2020_185_1.jpg	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-content/uploads/2019/12/vlsid_new_logo_2020_185_1.jpg	(from http://embeddedandvlsidesignconference.org/)
14:13:44	69406/69406	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202020%2008:43:43%20GMT	http://embeddedandvlsidesignconference.org/archives/2014/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/archives/2014/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:45	69406/69406	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202020%2008:43:44%20GMT	http://embeddedandvlsidesignconference.org/archives/2015/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/archives/2015/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:45	69406/69406	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202020%2008:43:45%20GMT	http://embeddedandvlsidesignconference.org/archives/2016/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/archives/2016/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:46	69406/69406	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202020%2008:43:46%20GMT	http://embeddedandvlsidesignconference.org/archives/2018/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/archives/2018/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:48	80953/80953	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:47%20GMT	http://embeddedandvlsidesignconference.org/contact-us/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/contact-us/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:48	77584/77584	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:48%20GMT	http://embeddedandvlsidesignconference.org/design-contest/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/design-contest/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:50	136089/136089	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:49%20GMT	http://embeddedandvlsidesignconference.org/call-for-papers/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/call-for-papers/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:50	111216/111216	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:49%20GMT	http://embeddedandvlsidesignconference.org/tutorial-submission/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/tutorial-submission/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:52	118501/118501	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:51%20GMT	http://embeddedandvlsidesignconference.org/user-design-track-submission/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/user-design-track-submission/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:52	74063/74063	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:51%20GMT	http://embeddedandvlsidesignconference.org/student-research-forum-submission/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/student-research-forum-submission/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:52	243952/243952	---M--	200	added ('OK')	image/jpeg	etag:%225def2c7a-3b8f0%22	http://embeddedandvlsidesignconference.org/wp-content/uploads/2019/12/leela_25_opt.jpg?id=3237	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-content/uploads/2019/12/leela_25_opt43b4.jpg	(from http://embeddedandvlsidesignconference.org/)
14:13:52	76364/76364	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:53%20GMT	http://embeddedandvlsidesignconference.org/industry-forum-submission/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/industry-forum-submission/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:54	160978/160978	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:53%20GMT	http://embeddedandvlsidesignconference.org/tutorial-programme/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/tutorial-programme/index.html	(from http://embeddedandvlsidesignconference.org/)
